RAID00003358,hsa-miR-96-5p,miRNA,MIMAT0000095,Homo sapiens,LIN28B,protein,389421,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00011142,hsa-miR-27a-3p,miRNA,MIMAT0000084,Homo sapiens,FMR1,protein,2332,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00022238,hsa-miR-449b-5p,miRNA,MIMAT0003327,Homo sapiens,DGCR8,protein,54487,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00022838,hsa-miR-148a-3p,miRNA,MIMAT0000243,Homo sapiens,TGIF2,protein,60436,Homo sapiens,Western Blot//Reporter Assay,RAID,18768788,0.8808
RAID00026340,hsa-miR-3122,miRNA,MIMAT0014984,Homo sapiens,EIF4A3,protein,9775,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00028403,hsa-miR-1301-3p,miRNA,MIMAT0005797,Homo sapiens,FMR1,protein,2332,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00033534,hsa-miR-3127-5p,miRNA,MIMAT0014990,Homo sapiens,DGCR8,protein,54487,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00038346,hsa-miR-3173-3p,miRNA,MIMAT0015048,Homo sapiens,DGCR8,protein,54487,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00040685,mmu-miR-135b-5p,miRNA,MIMAT0000612,Mus musculus,Fus,protein,233908,Mus musculus,CLIP-seq,starBase,None,0.5483
RAID00043680,hsa-miR-204-5p,miRNA,MIMAT0000265,Homo sapiens,DGCR8,protein,54487,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00052460,hsa-miR-20a-5p,miRNA,MIMAT0000075,Homo sapiens,PTBP1,protein,5725,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00053125,hsa-miR-130b-3p,miRNA,MIMAT0000691,Homo sapiens,NRP1,protein,8829,Homo sapiens,Microarray,RAID,26573160,0.5483
RAID00056027,mmu-miR-448-3p,miRNA,MIMAT0001533,Mus musculus,Fus,protein,233908,Mus musculus,CLIP-seq,starBase,None,0.5483
RAID00064498,hsa-miR-501-5p,miRNA,MIMAT0002872,Homo sapiens,FUS,protein,2521,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00068491,hsa-miR-555,miRNA,MIMAT0003219,Homo sapiens,ELAVL1,protein,1994,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00083062,hsa-miR-374b-5p,miRNA,MIMAT0004955,Homo sapiens,LIN28B,protein,389421,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00084119,hsa-miR-23a-3p,miRNA,MIMAT0000078,Homo sapiens,MYC,protein,4609,Homo sapiens,Northern Blot//RT-PCR,RAID,19219026,0.8808
RAID00085167,hsa-miR-192-5p,miRNA,MIMAT0000222,Homo sapiens,DGCR8,protein,54487,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00089200,hsa-let-7a-5p,miRNA,MIMAT0000062,Homo sapiens,LIN28A,protein,79727,Homo sapiens,IP (immunoprecipitation)//EMSA (electrophoretic mobility shift assay)//RT-PCR//Western Blot//CLIP,NPInter//RAID,18951094//20178735//22959275//26440890,0.9919
RAID00091044,hsa-miR-224-5p,miRNA,MIMAT0000281,Homo sapiens,EIF4A3,protein,9775,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00092160,hsa-miR-4511,miRNA,MIMAT0019048,Homo sapiens,DGCR8,protein,54487,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00093968,hsa-miR-145-5p,miRNA,MIMAT0000437,Homo sapiens,LIN28A,protein,79727,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00096681,hsa-miR-26b-5p,miRNA,MIMAT0000083,Homo sapiens,DGCR8,protein,54487,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00104266,hsa-miR-663a,miRNA,MIMAT0003326,Homo sapiens,ALKBH5,protein,54890,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00106027,hsa-miR-708-5p,miRNA,MIMAT0004926,Homo sapiens,DGCR8,protein,54487,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00110899,hsa-miR-193b-3p,miRNA,MIMAT0002819,Homo sapiens,LIN28A,protein,79727,Homo sapiens,CLIP-seq//CLIP,NPInter//starBase,22959275,0.6606
RAID00112917,hsa-miR-21-5p,miRNA,MIMAT0000076,Homo sapiens,DGCR8,protein,54487,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00118995,hsa-miR-96-5p,miRNA,MIMAT0000095,Homo sapiens,FMR1,protein,2332,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00123365,hsa-miR-660-5p,miRNA,MIMAT0003338,Homo sapiens,LIN28A,protein,79727,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00126666,hsa-miR-107,miRNA,MIMAT0000104,Homo sapiens,HNRNPA1,protein,3178,Homo sapiens,IP (immunoprecipitation)//RT-PCR,RAID,26494299,0.8808
RAID00127446,hsa-miR-30d-5p,miRNA,MIMAT0000245,Homo sapiens,FXR1,protein,8087,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00127639,hsa-miR-23a-3p,miRNA,MIMAT0000078,Homo sapiens,LIN28A,protein,79727,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00135985,hsa-miR-200c-3p,miRNA,MIMAT0000617,Homo sapiens,LIN28B,protein,389421,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00149155,hsa-miR-193b-3p,miRNA,MIMAT0002819,Homo sapiens,RTCB,protein,51493,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00151994,hsa-miR-125a-5p,miRNA,MIMAT0000443,Homo sapiens,LIN28A,protein,79727,Homo sapiens,CLIP-seq//CLIP,NPInter//starBase,22959275,0.6606
RAID00162382,hsa-miR-873-5p,miRNA,MIMAT0004953,Homo sapiens,FUS,protein,2521,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00162732,hsa-miR-191-5p,miRNA,MIMAT0000440,Homo sapiens,FMR1,protein,2332,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00170473,hsa-miR-762,miRNA,MIMAT0010313,Homo sapiens,EIF4A3,protein,9775,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00172667,hsa-miR-23a-3p,miRNA,MIMAT0000078,Homo sapiens,FUS,protein,2521,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00181836,hsa-miR-31-5p,miRNA,MIMAT0000089,Homo sapiens,EWSR1,protein,2130,Homo sapiens,CLIP,NPInter,24813895,0.5483
RAID00186759,hsa-miR-27b-3p,miRNA,MIMAT0000419,Homo sapiens,FXR1,protein,8087,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00191180,hsa-miR-185-5p,miRNA,MIMAT0000455,Homo sapiens,LIN28B,protein,389421,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00196838,hsa-miR-302a-5p,miRNA,MIMAT0000683,Homo sapiens,LIN28A,protein,79727,Homo sapiens,CLIP,NPInter,22959275,0.5483
RAID00199351,hsa-miR-3175,miRNA,MIMAT0015052,Homo sapiens,EIF4A3,protein,9775,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00202843,hsa-miR-3916,miRNA,MIMAT0018190,Homo sapiens,U2AF2,protein,11338,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00206927,hsa-miR-221-3p,miRNA,MIMAT0000278,Homo sapiens,DDIT4,protein,54541,Homo sapiens,Reporter Assay//RT-PCR//Western Blot//Microarray,RAID,20018759,0.9786
RAID00207003,hsa-miR-374b-5p,miRNA,MIMAT0004955,Homo sapiens,FUS,protein,2521,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00208610,hsa-miR-1248,miRNA,MIMAT0005900,Homo sapiens,LIN28A,protein,79727,Homo sapiens,CLIP,NPInter,22959275,0.5483
RAID00211175,hsa-miR-195-5p,miRNA,MIMAT0000461,Homo sapiens,FUS,protein,2521,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00213929,hsa-miR-1-3p,miRNA,MIMAT0000416,Homo sapiens,PIM1,protein,5292,Homo sapiens,RT-PCR//Reporter Assay//Western Blot,RAID,18818206,0.9526
RAID00224624,hsa-miR-3176,miRNA,MIMAT0015053,Homo sapiens,FMR1,protein,2332,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00225802,hsa-let-7g-5p,miRNA,MIMAT0000414,Homo sapiens,FXR1,protein,8087,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00228452,hsa-miR-17-5p,miRNA,MIMAT0000070,Homo sapiens,UPF1,protein,5976,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00231511,hsa-miR-106b-5p,miRNA,MIMAT0000680,Homo sapiens,DGCR8,protein,54487,Homo sapiens,CLIP-seq,starBase,None,0.5483
RAID00235079,hsa-miR-136-5p,miRNA,MIMAT0000448,Homo sapiens,LIN28B,protein,389421,Homo sapiens,CLIP-seq,starBase,None,0.5483
