2332,2521,7073,9775,5976,11338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5976,2521,54487,6426,2332,9513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51493,4343,54890,6426,11338,1994,3183,10643,7073,8087,389421,9444,5725,4076,9513,2332,8148,2521,9775,5976,7072,2130,23264,27327,10644,79727,54487,10642,,,,,,,,,,,,,
54487,10644,2130,4343,79727,9513,7073,2332,10643,10642,27327,11338,4076,5725,389421,5976,23264,9775,2521,8087,,,,,,,,,,,,,,,,,,,,,
4609,2521,11338,5725,7072,3183,5976,9775,54487,2130,79727,6426,7073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4343,8087,4609,54487,2521,7072,10644,51493,54890,79727,8148,9513,7073,10643,5976,2332,10642,27327,55421,6426,1994,389421,23264,4076,9775,2130,,,,,,,,,,,,,,,
389421,5976,5725,11338,10644,10642,4076,79727,10643,54890,54487,23264,9775,1994,3183,2521,,,,,,,,,,,,,,,,,,,,,,,,,
2521,23264,3183,1994,9775,6426,389421,9513,51493,7072,2130,8148,11338,10644,10642,79727,10643,5976,2332,5725,54487,7073,,,,,,,,,,,,,,,,,,,
10643,11338,9775,10644,5725,79727,2332,5976,2521,389421,6426,10642,23264,54487,9513,3183,1994,,,,,,,,,,,,,,,,,,,,,,,,
4609,2521,1994,3183,54487,8148,2130,7072,23264,9775,389421,5976,2332,7073,11338,10644,10642,10643,,,,,,,,,,,,,,,,,,,,,,,
5976,2521,4090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775,6426,10643,11338,79727,2130,8148,10644,9513,389421,7072,2521,23264,10642,8087,7073,54487,1994,3183,5976,2332,,,,,,,,,,,,,,,,,,,,
10642,4343,10644,3183,1994,27327,9775,8087,51493,54487,5725,5976,2332,4076,7073,23264,79727,6426,389421,11338,8148,2521,2130,10643,9513,,,,,,,,,,,,,,,,
4609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5725,2521,6426,9775,5976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775,5976,2332,11338,79727,5725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521,54487,5976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10643,11338,5725,79727,5728,10644,3183,2521,6426,9775,9513,7072,8087,5976,2332,,,,,,,,,,,,,,,,,,,,,,,,,,
110809,20382,56195,233908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110809,233908,20382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11338,5725,9775,4609,2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51493,54890,4609,9444,2521,10642,4076,5725,389421,23264,7073,9513,7072,11338,1994,3183,55421,6426,27327,10643,9775,79727,54487,5976,2332,2130,8148,10644,4343,,,,,,,,,,,,
79727,5976,2332,2521,6426,9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389421,11338,51493,3183,1994,54487,9775,4609,2521,5725,5976,2332,7073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11338,5976,2332,79727,9775,10643,4609,2521,10642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4609,2521,5976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8087,389421,11338,10642,5781,5728,3183,5465,1994,2332,5976,7474,1847,3014,6426,4076,51493,1021,27327,23264,79727,9775,4090,6774,2130,5524,54487,4343,4609,9444,2521,598,26191,10643,11335,9513,665,10644,5725,1848,7073
9775,54487,2521,5725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79727,2521,5976,2332,10643,5725,11338,389421,9775,10642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11338,55421,9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11338,1994,79727,9775,2521,5725,5976,10643,6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10643,9775,7072,5725,10644,54487,7073,389421,10642,23264,5976,2332,11338,9444,2521,1994,3183,,,,,,,,,,,,,,,,,,,,,,,,
2521,11338,9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10643,5976,8148,2332,10644,4076,10642,79727,4609,5725,2521,11338,7073,1994,7072,9775,54487,389421,,,,,,,,,,,,,,,,,,,,,,,
11338,5976,4609,2332,2521,5725,3183,1021,7073,4076,55421,9775,27327,23264,54487,10643,6426,51493,389421,9513,7072,10644,8148,2130,4343,10642,79727,8087,,,,,,,,,,,,,
2521,5976,9775,54487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56195,20382,233908,110809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20382,233908,110809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20382,233908,110809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233908,110809,56195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5976,4609,11338,3183,7072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775,10644,2521,79727,5725,2332,389421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775,5725,54487,2521,7072,6426,5976,11338,3183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775,5976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11338,9775,54487,2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3183,9775,10643,2521,389421,5976,5725,11338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,10644,9775,10642,54487,5725,2521,7073,11338,2332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10642,5976,11338,79727,1994,9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10643,11338,2130,10644,1994,389421,10642,4076,9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775,5725,54487,2521,5976,2332,6426,10643,10644,11338,10642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389421,3183,1994,10644,23264,9775,79727,10642,54487,6426,51493,4609,2521,8148,2130,54890,10643,11338,5976,2332,,,,,,,,,,,,,,,,,,,,,
2521,11338,2332,5976,1994,389421,9775,54487,23264,5725,79727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9513,389421,7073,79727,11338,5976,2332,3183,1994,6426,51493,55421,9775,4609,54487,2521,2130,,,,,,,,,,,,,,,,,,,,,,,,
