ACLY,protein,47,Homo sapiens,A0A024R1T9,1120
RHOB,protein,388,Homo sapiens,P62745,200
BCL2L1,protein,598,Homo sapiens,A0A0S2Z3C5,237
BCL2L2,protein,599,Homo sapiens,Q92843,197
BNIP3L,protein,665,Homo sapiens,O60238,223
BRAF,protein,673,Homo sapiens,P15056,779
CDK6,protein,1021,Homo sapiens,Q00534,332
DUSP5,protein,1847,Homo sapiens,Q16690,391
DUSP6,protein,1848,Homo sapiens,A0A024RBC1,388
E2F3,protein,1871,Homo sapiens,O00716,473
ELAVL1,protein,1994,Homo sapiens,Q15717,332
ESR2,protein,2100,Homo sapiens,F1D8N3,504
EWSR1,protein,2130,Homo sapiens,Q01844,667
FMR1,protein,2332,Homo sapiens,Q06787,643
FUS,protein,2521,Homo sapiens,P35637,535
GJA1,protein,2697,Homo sapiens,P17302,389
GSK3B,protein,2932,Homo sapiens,P49841,427
H2AFX,protein,3014,Homo sapiens,P16104,146
HLA-G,protein,3135,Homo sapiens,P17693,344
HMGA1,protein,3159,Homo sapiens,P17096,109
HNRNPA1,protein,3178,Homo sapiens,A0A024RAZ7,379
HNRNPC,protein,3183,Homo sapiens,P07910,312
HNRNPD,protein,3184,Homo sapiens,A0A024RDB4,342
HNRNPK,protein,3190,Homo sapiens,B4DUQ1,447
HOXD10,protein,3236,Homo sapiens,P28358,346
HSPA5,protein,3309,Homo sapiens,P11021,665
IFNA1,protein,3439,Homo sapiens,L0N195,193
ING1,protein,3621,Homo sapiens,A0A0C4DFW2,430
KCNH2,protein,3757,Homo sapiens,A0A090N7W1,903
CAPRIN1,protein,4076,Homo sapiens,Q14444,721
SMAD1,protein,4086,Homo sapiens,Q15797,473
SMAD5,protein,4090,Homo sapiens,Q68DB7,473
MEIS1,protein,4211,Homo sapiens,F5GYS8,331
MMP2,protein,4313,Homo sapiens,A0A024R6R4,671
MOV10,protein,4343,Homo sapiens,Q5JR04,963
MYC,protein,4609,Homo sapiens,P01106,447
NOS3,protein,4846,Homo sapiens,A0A0A0MTA6,626
NTRK3,protein,4916,Homo sapiens,B7Z7U4,628
PIM1,protein,5292,Homo sapiens,A0A024RD25,319
PPARA,protein,5465,Homo sapiens,F1D8S4,476
PPP1R10,protein,5514,Homo sapiens,Q2L6I0,956
PPP2R4,protein,5524,Homo sapiens,B4DZF8,381
PTBP1,protein,5725,Homo sapiens,P26599,540
PTEN,protein,5728,Homo sapiens,A0A0U1RR63,587
PTPN11,protein,5781,Homo sapiens,Q06124,607
UPF1,protein,5976,Homo sapiens,A0A024R7L5,1137
SRSF1,protein,6426,Homo sapiens,Q07955,253
STAT3,protein,6774,Homo sapiens,P40763,783
TIA1,protein,7072,Homo sapiens,F8W8I6,392
TIAL1,protein,7073,Homo sapiens,Q01085,382
TOP1,protein,7150,Homo sapiens,P11387,778
VEGFA,protein,7422,Homo sapiens,A0A024RD33,236
WNT5A,protein,7474,Homo sapiens,A0A024R316,372
ZFP36,protein,7538,Homo sapiens,M0QY76,338
ZBTB16,protein,7704,Homo sapiens,A0A024R3C6,685
FXR1,protein,8087,Homo sapiens,A0A0F7KYT8,689
TAF15,protein,8148,Homo sapiens,Q92804,602
NRP1,protein,8829,Homo sapiens,A8K9V7,933
SOCS3,protein,9021,Homo sapiens,O14543,229
QKI,protein,9444,Homo sapiens,Q8WY44,197
FXR2,protein,9513,Homo sapiens,P51116,685
EIF4A3,protein,9775,Homo sapiens,A0A024R8W0,418
IGF2BP1,protein,10642,Homo sapiens,Q9NZI8,587
IGF2BP3,protein,10643,Homo sapiens,O00425,589
IGF2BP2,protein,10644,Homo sapiens,B3FTN5,56
CBX3,protein,11335,Homo sapiens,A4D177,187
U2AF2,protein,11338,Homo sapiens,P26368,483
Hnrnpd,protein,11991,Mus musculus,G3X9W0,342
Cdx2,protein,12591,Mus musculus,P43241,317
Cirbp,protein,12696,Mus musculus,P60824,175
Efnb1,protein,13641,Mus musculus,P52795,351
Rbm3,protein,19652,Mus musculus,O89086,156
Srsf2,protein,20382,Mus musculus,Q62093,225
Sox2,protein,20674,Mus musculus,P48432,325
Srebf1,protein,20787,Mus musculus,Q9WTN3,1153
Stat5a,protein,20850,Mus musculus,B2C3G8,811
Tial1,protein,21843,Mus musculus,D3Z3Y4,342
Zfp36,protein,22695,Mus musculus,P22893,325
ZC3H7B,protein,23264,Homo sapiens,A0A024R1N2,632
Cav1,protein,25404,Rattus norvegicus,B1WBN8,150
PTPN22,protein,26191,Homo sapiens,B4DZW8,573
AGO1,protein,26523,Homo sapiens,B2RAD8,872
AGO2,protein,27161,Homo sapiens,A4FVC0,822
TNRC6A,protein,27327,Homo sapiens,Q8NDV7,1995
TBK1,protein,29110,Homo sapiens,Q9UHD2,742
RTCB,protein,51493,Homo sapiens,Q9Y3I0,514
DGCR8,protein,54487,Homo sapiens,Q8WYQ5,786
DDIT4,protein,54541,Homo sapiens,A0A024QZQ6,236
ALKBH5,protein,54890,Homo sapiens,Q6P6C2,401
NCBP3,protein,55421,Homo sapiens,Q53F19,631
Ptbp2,protein,56195,Mus musculus,Q91Z31,540
TGIF2,protein,60436,Homo sapiens,Q9GZN2,241
LIN28A,protein,79727,Homo sapiens,Q9H9Z2,213
Srsf1,protein,110809,Mus musculus,Q6PDM2,253
Tlr7,protein,170743,Mus musculus,P58681,1068
AGO3,protein,192669,Homo sapiens,B4E1P5,700
Adcy5,protein,224129,Mus musculus,P84309,1284
Fus,protein,233908,Mus musculus,P56959,527
Fadd,protein,266610,Rattus norvegicus,Q8R2E7,212
DND1,protein,373863,Homo sapiens,Q8IYX4,359
Lin28b,protein,380669,Mus musculus,Q45KJ6,252
LIN28B,protein,389421,Homo sapiens,Q6ZN17,255
LMP1,protein,3783750,Human herpesvirus 4,A0A0B6VKE3,393
