BCYRN1,lncRNA,618,Homo sapiens,NR_001568.1,203
E2F3P1,lncRNA,1872,Homo sapiens,ENST00000589887.1,1251
FOXO3B,lncRNA,2310,Homo sapiens,ENST00000442380.2,574
HNRNPU,lncRNA,3192,Homo sapiens,ENST00000465881.2,898
IPW,lncRNA,3653,Homo sapiens,NR_023915.1,4563
KRASP1,lncRNA,3844,Homo sapiens,ENST00000407852.2,562
PDK3,lncRNA,5165,Homo sapiens,ENST00000493226.1,403
PVT1,lncRNA,5820,Homo sapiens,NR_003367.3,1985
TOP1P2,lncRNA,7152,Homo sapiens,NR_001283.1,1543
XIST,lncRNA,7503,Homo sapiens,NR_001564.2,19572
UBXN8,lncRNA,7993,Homo sapiens,ENST00000620706.1,665
SNHG3,lncRNA,8420,Homo sapiens,NR_002909.2,2270
INE1,lncRNA,8552,Homo sapiens,NR_024616.1,1029
JRK,lncRNA,8629,Homo sapiens,ENST00000585503.1,1195
DLEU2,lncRNA,8847,Homo sapiens,NR_152566.1,3137
SMAD5-AS1,lncRNA,9597,Homo sapiens,NR_026763.1,1854
KIAA0125,lncRNA,9834,Homo sapiens,NR_026800.2,9781
ZNF518A,lncRNA,9849,Homo sapiens,NR_138482.1,1883
CASP8AP2,lncRNA,9994,Homo sapiens,ENST00000237177.10,6831
DLEU1,lncRNA,10301,Homo sapiens,NR_002605.2,2946
RFPL1S,lncRNA,10740,Homo sapiens,NR_002727.2,5199
HCP5,lncRNA,10866,Homo sapiens,NR_040662.1,2584
KCNQ1OT1,lncRNA,10984,Homo sapiens,NR_002728.3,92981
PTENP1,lncRNA,11191,Homo sapiens,NR_023917.1,3989
Gas5,lncRNA,14455,Mus musculus,NR_153812.1,762
Gt(ROSA)26Sor,lncRNA,14910,Mus musculus,NR_027008.1,1248
CABIN1,lncRNA,23523,Homo sapiens,ENST00000485008.1,784
SNHG1,lncRNA,23642,Homo sapiens,NR_003098.2,1154
DGCR11,lncRNA,25786,Homo sapiens,NR_024157.1,2246
PART1,lncRNA,25859,Homo sapiens,NR_024617.1,2531
DGCR5,lncRNA,26220,Homo sapiens,NR_002733.2,3382
SND1-IT1,lncRNA,27099,Homo sapiens,NR_027330.1,2606
LINC00339,lncRNA,29092,Homo sapiens,NR_023918.2,1144
IGF2-AS,lncRNA,51214,Homo sapiens,NR_028043.2,2138
MAPKAPK5-AS1,lncRNA,51275,Homo sapiens,NR_015404.2,2425
WT1-AS,lncRNA,51352,Homo sapiens,NR_023920.2,1091
TUG1,lncRNA,55000,Homo sapiens,NR_002323.2,7650
LINC00483,lncRNA,55018,Homo sapiens,ENST00000419688.1,568
MEG3,lncRNA,55384,Homo sapiens,NR_002766.2,1618
DHRS4-AS1,lncRNA,55449,Homo sapiens,NR_023921.2,3096
IDI2-AS1,lncRNA,55853,Homo sapiens,NR_024628.1,1123
KIZ,lncRNA,55857,Homo sapiens,ENST00000620553.2,568
LINC00470,lncRNA,56651,Homo sapiens,NR_023925.1,2263
TP73-AS1,lncRNA,57212,Homo sapiens,NR_033708.1,4136
LINC00869,lncRNA,57234,Homo sapiens,NR_111950.1,6153
DANCR,lncRNA,57291,Homo sapiens,NR_024031.2,929
